batch,loss,avg_loss,rate,seconds,images
275,1.4,2.151,1.493e-05,0.057003,1100
276,3.197,2.256,1.515e-05,0.05752,1104
277,2.813,2.311,1.537e-05,0.057051000000000004,1108
278,1.224,2.203,1.559e-05,0.062280999999999996,1112
279,1.148,2.097,1.581e-05,0.058573,1116
280,1.807,2.068,1.604e-05,0.059078000000000006,1120
281,0.265,1.888,1.627e-05,0.059266,1124
282,3.437,2.043,1.651e-05,0.061422,1128
283,1.512,1.99,1.674e-05,0.058637999999999996,1132
284,0.599,1.85,1.698e-05,0.059866,1136
285,0.257,1.691,1.722e-05,0.061935000000000004,1140
286,1.37,1.659,1.746e-05,0.055195,1144
287,1.057,1.599,1.771e-05,0.057881,1148
288,1.782,1.617,1.796e-05,0.058637999999999996,1152
289,1.216,1.577,1.821e-05,0.05914,1156
290,0.213,1.441,1.846e-05,0.057847,1160
291,2.039,1.5,1.872e-05,0.058701,1164
292,2.019,1.552,1.897e-05,0.060302999999999995,1168
293,1.057,1.503,1.924e-05,0.059619,1172
294,2.549,1.607,1.95e-05,0.057901,1176
295,0.942,1.541,1.977e-05,0.058478,1180
296,2.421,1.629,2.004e-05,0.058575,1184
297,3.12,1.778,2.031e-05,0.06229,1188
298,2.236,1.824,2.058e-05,0.060587,1192
299,0.167,1.658,2.086e-05,0.057748,1196
300,1.326,1.625,2.114e-05,0.059802999999999995,1200
301,1.83,1.645,2.142e-05,0.06760899999999999,1204
302,1.543,1.635,2.171e-05,0.057466,1208
303,1.056,1.577,2.2e-05,0.0555,1212
304,0.144,1.434,2.229e-05,0.057021,1216
305,2.97,1.587,2.259e-05,0.063909,1220
306,1.283,1.557,2.288e-05,0.05767,1224
307,1.681,1.569,2.318e-05,0.059817999999999996,1228
308,0.645,1.477,2.349e-05,0.060159,1232
309,0.551,1.384,2.379e-05,0.055563,1236
310,1.725,1.418,2.41e-05,0.058603,1240
311,2.15,1.492,2.442e-05,0.05692,1244
312,2.05,1.547,2.473e-05,0.060416,1248
313,1.74,1.567,2.505e-05,0.059595999999999996,1252
314,0.644,1.474,2.537e-05,0.059736,1256
315,1.813,1.508,2.57e-05,0.06148,1260
316,0.945,1.452,2.602e-05,0.059447,1264
317,0.098,1.316,2.636e-05,0.059804,1268
318,1.676,1.352,2.669e-05,0.060662,1272
319,0.097,1.227,2.703e-05,0.063984,1276
320,0.083,1.113,2.737e-05,0.061272,1280
321,1.101,1.111,2.771e-05,0.05661,1284
322,0.081,1.008,2.806e-05,0.057481000000000004,1288
323,1.989,1.106,2.841e-05,0.058819,1292
324,0.659,1.062,2.876e-05,0.055619999999999996,1296
325,1.444,1.1,2.912e-05,0.059311,1300
326,1.981,1.188,2.948e-05,0.059965000000000004,1304
327,0.082,1.077,2.984e-05,0.054966,1308
328,0.07,0.977,3.021e-05,0.053825000000000005,1312
329,0.956,0.975,3.058e-05,0.056569,1316
330,1.112,0.988,3.095e-05,0.057290999999999995,1320
331,0.786,0.968,3.133e-05,0.05835,1324
332,2.203,1.092,3.171e-05,0.062252,1328
333,0.331,1.015,3.209e-05,0.060950000000000004,1332
334,1.809,1.095,3.248e-05,0.057164,1336
335,0.877,1.073,3.287e-05,0.056424999999999996,1340
336,1.364,1.102,3.327e-05,0.059694000000000004,1344
337,1.906,1.182,3.366e-05,0.053498,1348
338,1.424,1.207,3.406e-05,0.054473999999999995,1352
339,2.476,1.333,3.447e-05,0.057854,1356
340,1.339,1.334,3.488e-05,0.059522,1360
341,0.068,1.207,3.529e-05,0.057970999999999995,1364
342,1.719,1.259,3.571e-05,0.05761,1368
343,0.056,1.138,3.613e-05,0.063712,1372
344,1.517,1.176,3.655e-05,0.059808999999999994,1376
345,0.789,1.138,3.698e-05,0.056088,1380
346,0.733,1.097,3.741e-05,0.059421,1384
347,0.328,1.02,3.784e-05,0.059095,1388
348,0.811,0.999,3.828e-05,0.059126,1392
349,2.505,1.15,3.872e-05,0.055549999999999995,1396
350,0.872,1.122,3.917e-05,0.056667999999999996,1400
351,0.906,1.1,3.962e-05,0.06153,1404
352,1.14,1.104,4.007e-05,0.056946,1408
353,0.814,1.075,4.053e-05,0.056156,1412
354,0.922,1.06,4.099e-05,0.05793,1416
355,1.501,1.104,4.145e-05,0.056107,1420
356,0.808,1.074,4.192e-05,0.053448,1424
357,1.49,1.116,4.239e-05,0.057265,1428
358,0.869,1.091,4.287e-05,0.053215000000000005,1432
359,0.91,1.073,4.335e-05,0.056227,1436
360,1.45,1.111,4.384e-05,0.05706,1440
361,2.167,1.217,4.433e-05,0.057641,1444
362,1.356,1.23,4.482e-05,0.058531,1448
363,1.597,1.267,4.532e-05,0.05631,1452
364,0.441,1.185,4.582e-05,0.055436,1456
365,0.042,1.07,4.632e-05,0.057092,1460
366,0.361,0.999,4.683e-05,0.057572000000000005,1464
367,2.465,1.146,4.735e-05,0.057707,1468
368,1.241,1.156,4.787e-05,0.05471,1472
369,1.952,1.235,4.839e-05,0.058603,1476
370,1.002,1.212,4.892e-05,0.057294,1480
371,1.659,1.257,4.945e-05,0.058979,1484
372,1.568,1.288,4.998e-05,0.063279,1488
373,1.131,1.272,5.052e-05,0.057232,1492
374,0.88,1.233,5.107e-05,0.056888,1496
375,1.136,1.223,5.161e-05,0.062596,1500
376,1.323,1.233,5.217e-05,0.055341,1504
377,1.06,1.216,5.272e-05,0.058548,1508
378,0.649,1.159,5.329e-05,0.057902999999999996,1512
379,1.562,1.199,5.385e-05,0.055029,1516
380,1.044,1.184,5.442e-05,0.057640000000000004,1520
381,0.901,1.156,5.5e-05,0.058214,1524
382,1.604,1.201,5.558e-05,0.060122999999999996,1528
383,1.478,1.228,5.616e-05,0.055957,1532
384,1.26,1.231,5.675e-05,0.058417000000000004,1536
385,1.64,1.272,5.734e-05,0.059431,1540
386,0.925,1.238,5.794e-05,0.056055999999999995,1544
387,0.519,1.166,5.854e-05,0.057448,1548
388,0.024,1.051,5.915e-05,0.057936,1552
389,0.555,1.002,5.976e-05,0.061723999999999994,1556
390,0.746,0.976,6.038e-05,0.060139000000000005,1560
391,1.598,1.038,6.1e-05,0.056159,1564
392,1.122,1.047,6.163e-05,0.053969,1568
393,0.711,1.013,6.226e-05,0.057470999999999994,1572
394,0.718,0.984,6.29e-05,0.055240000000000004,1576
395,1.3,1.015,6.354e-05,0.057415,1580
396,1.931,1.107,6.418e-05,0.055624,1584
397,0.808,1.077,6.483e-05,0.055639,1588
398,2.323,1.202,6.549e-05,0.056706000000000006,1592
399,0.022,1.084,6.615e-05,0.059982999999999995,1596
400,0.674,1.043,6.682e-05,0.057414,1600
401,0.632,1.002,6.749e-05,0.061555,1604
402,1.174,1.019,6.816e-05,0.059582,1608
403,0.736,0.991,6.884e-05,0.056172,1612
404,0.619,0.953,6.953e-05,0.056188,1616
405,0.724,0.93,7.022e-05,0.054943,1620
406,1.111,0.948,7.092e-05,0.054341,1624
407,0.016,0.855,7.162e-05,0.06723399999999999,1628
408,0.512,0.821,7.232e-05,0.060575000000000004,1632
409,0.823,0.821,7.304e-05,0.056537,1636
410,0.017,0.741,7.375e-05,0.057138,1640
411,0.021,0.669,7.447e-05,0.054321,1644
412,2.238,0.826,7.52e-05,0.056665,1648
413,0.889,0.832,7.593e-05,0.055680999999999994,1652
414,1.03,0.852,7.667e-05,0.054060000000000004,1656
415,1.316,0.898,7.742e-05,0.056192,1660
416,1.605,0.969,7.817e-05,0.051722000000000004,1664
417,1.768,1.049,7.892e-05,0.053783000000000004,1668
418,0.534,0.997,7.968e-05,0.057137,1672
419,1.03,1.001,8.044e-05,0.062845,1676
420,1.377,1.038,8.122e-05,0.058158,1680
421,1.826,1.117,8.199e-05,0.057371000000000005,1684
422,0.551,1.06,8.277e-05,0.064528,1688
423,0.83,1.037,8.356e-05,0.059025,1692
424,1.358,1.07,8.435e-05,0.060956,1696
425,2.255,1.188,8.515e-05,0.060502,1700
426,2.097,1.279,8.596e-05,0.057015,1704
427,2.458,1.397,8.677e-05,0.062637,1708
428,1.0,1.357,8.758e-05,0.061793,1712
429,1.334,1.355,8.84e-05,0.058997999999999995,1716
430,0.259,1.245,8.923e-05,0.059768,1720
431,0.384,1.159,9.006e-05,0.057956,1724
432,0.658,1.109,9.09e-05,0.061201,1728
433,0.489,1.047,9.175e-05,0.059327,1732
434,1.05,1.047,9.26e-05,0.058823,1736
435,0.241,0.967,9.345e-05,0.062308999999999996,1740
436,1.054,0.975,9.432e-05,0.06271600000000001,1744
437,0.519,0.93,9.518e-05,0.057825,1748
438,1.399,0.977,9.606e-05,0.05543,1752
439,0.473,0.926,9.694e-05,0.056531,1756
440,1.213,0.955,9.783e-05,0.053208,1760
441,0.388,0.898,9.872e-05,0.056033,1764
442,0.947,0.903,9.962e-05,0.056741,1768
443,1.379,0.951,0.00010052,0.054526000000000005,1772
444,1.016,0.957,0.00010143,0.054090000000000006,1776
445,0.942,0.956,0.00010235,0.053411,1780
446,0.663,0.927,0.00010327,0.057444,1784
447,1.66,1.0,0.0001042,0.057280000000000005,1788
448,0.689,0.969,0.00010514,0.055184,1792
449,1.143,0.986,0.00010608,0.057566,1796
450,0.332,0.921,0.00010703,0.056369999999999996,1800
451,1.965,1.025,0.00010798,0.05924,1804
